scale,client_id,case_name,expected_result,clip_bound_ok,clip_lhs_sum_sq,clip_rhs_bound_sq,clip_bound_excess,clip_bound_excess_ppm,quantized_relation_ok,relation_linf_gap,float_vs_quantized_gap,param_count,q_clipped_linf,q_noise_linf,q_noisy_linf,local_loss
100,0,honest_quantized_relation,pass,True,9858,10000,0,0.0,False,1,1,10,85,14,97,0.475945
100,0,tampered_quantized_relation,fail,True,9858,10000,0,0.0,False,1,1,10,85,14,97,0.475945
100,1,honest_quantized_relation,pass,False,10007,10000,7,700.0,False,1,1,10,86,26,76,0.476529
100,1,tampered_quantized_relation,fail,False,10007,10000,7,700.0,False,1,1,10,86,26,76,0.476529
100,2,honest_quantized_relation,pass,False,10042,10000,42,4200.0,False,1,1,10,83,21,98,0.474137
100,2,tampered_quantized_relation,fail,False,10042,10000,42,4200.0,False,1,1,10,83,21,98,0.474137
1000,0,honest_quantized_relation,pass,True,987958,1000000,0,0.0,False,1,1,10,851,141,972,0.475945
1000,0,tampered_quantized_relation,fail,True,987958,1000000,0,0.0,False,1,1,10,851,141,972,0.475945
1000,1,honest_quantized_relation,pass,True,992923,1000000,0,0.0,False,1,1,10,856,256,753,0.476529
1000,1,tampered_quantized_relation,fail,True,992923,1000000,0,0.0,False,1,1,10,856,256,753,0.476529
1000,2,honest_quantized_relation,pass,False,1000447,1000000,447,447.0,False,1,1,10,828,207,983,0.474137
1000,2,tampered_quantized_relation,fail,False,1000447,1000000,447,447.0,False,1,1,10,828,207,983,0.474137
10000,0,honest_quantized_relation,pass,True,98890825,100000000,0,0.0,False,1,1,10,8513,1405,9720,0.475945
10000,0,tampered_quantized_relation,fail,True,98890825,100000000,0,0.0,False,1,1,10,8513,1405,9720,0.475945
10000,1,honest_quantized_relation,pass,True,99337085,100000000,0,0.0,False,1,1,10,8561,2557,7531,0.476529
10000,1,tampered_quantized_relation,fail,True,99337085,100000000,0,0.0,False,1,1,10,8561,2557,7531,0.476529
10000,2,honest_quantized_relation,pass,False,100010941,100000000,10941,109.41,False,1,1,10,8276,2070,9822,0.474137
10000,2,tampered_quantized_relation,fail,False,100010941,100000000,10941,109.41,False,1,1,10,8276,2070,9822,0.474137
