scale,client_id,case_name,expected_result,param_count,local_loss,clip_lhs_sum_sq,clip_rhs_bound_sq,clip_bound_excess,clip_bound_excess_ppm,slack_needed_for_clip,clip_ok_without_slack,clip_ok_with_observed_slack,relation_exact,relation_linf_gap,canonical_float_gap_linf,tamper_delta
100,0,honest_canonical,pass,10,0.475945,9858,10000,0,0.0,0,True,True,True,0,1,0
100,0,tampered_canonical,fail,10,0.475945,9858,10000,0,0.0,0,True,True,False,1,1,1
100,1,honest_canonical,pass,10,0.476529,10007,10000,7,700.0,7,False,True,True,0,1,0
100,1,tampered_canonical,fail,10,0.476529,10007,10000,7,700.0,7,False,True,False,1,1,1
100,2,honest_canonical,pass,10,0.474137,10042,10000,42,4200.0,42,False,True,True,0,1,0
100,2,tampered_canonical,fail,10,0.474137,10042,10000,42,4200.0,42,False,True,False,1,1,1
1000,0,honest_canonical,pass,10,0.475945,987958,1000000,0,0.0,0,True,True,True,0,1,0
1000,0,tampered_canonical,fail,10,0.475945,987958,1000000,0,0.0,0,True,True,False,1,1,1
1000,1,honest_canonical,pass,10,0.476529,992923,1000000,0,0.0,0,True,True,True,0,1,0
1000,1,tampered_canonical,fail,10,0.476529,992923,1000000,0,0.0,0,True,True,False,1,1,1
1000,2,honest_canonical,pass,10,0.474137,1000447,1000000,447,447.0,447,False,True,True,0,1,0
1000,2,tampered_canonical,fail,10,0.474137,1000447,1000000,447,447.0,447,False,True,False,1,1,1
10000,0,honest_canonical,pass,10,0.475945,98890825,100000000,0,0.0,0,True,True,True,0,1,0
10000,0,tampered_canonical,fail,10,0.475945,98890825,100000000,0,0.0,0,True,True,False,1,1,1
10000,1,honest_canonical,pass,10,0.476529,99337085,100000000,0,0.0,0,True,True,True,0,1,0
10000,1,tampered_canonical,fail,10,0.476529,99337085,100000000,0,0.0,0,True,True,False,1,1,1
10000,2,honest_canonical,pass,10,0.474137,100010941,100000000,10941,109.41,10941,False,True,True,0,1,0
10000,2,tampered_canonical,fail,10,0.474137,100010941,100000000,10941,109.41,10941,False,True,False,1,1,1
