dataset,samples,input_dim,fl_final_mean,fl_final_std,dp_final_mean,dp_final_std,final_accuracy_gap,dp_retention_ratio,fl_best_mean,dp_best_mean,dp_effect_preserved
banknote_authentication,1372,4,0.573333,0.171497,0.467879,0.176563,0.105455,0.816067,0.573333,0.467879,False
blood_transfusion,748,4,0.615556,0.106435,0.535555,0.130677,0.08,0.870036,0.615556,0.54,False
breast_cancer_wisconsin,569,30,0.912281,0.018949,0.891813,0.040726,0.020468,0.977564,0.912281,0.897661,True
german_credit,1000,61,0.711667,0.006236,0.71,0.010801,0.001667,0.997658,0.713333,0.716667,True
ilpd,583,11,0.609687,0.058108,0.60114,0.093715,0.008547,0.985981,0.612536,0.603989,True
kc2,522,21,0.793651,0.01957,0.784127,0.031427,0.009524,0.988,0.793651,0.787302,True
pc4,1458,37,0.820776,0.032768,0.794521,0.041757,0.026256,0.968011,0.820776,0.794521,True
pima_diabetes,768,8,0.731602,0.031958,0.714286,0.028055,0.017316,0.976332,0.738095,0.720779,True
spambase,4601,57,0.913138,0.005537,0.907347,0.001354,0.005791,0.993658,0.913138,0.909157,True
tic_tac_toe,958,27,0.65625,0.007366,0.645833,0.022503,0.010417,0.984126,0.657986,0.657986,True
titanic,1309,2357,0.821883,0.014727,0.790076,0.017351,0.031807,0.9613,0.821883,0.802799,True
